age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,6,77516,13,4,0,1,4,1,2174,0,40,39,<=50K
50,5,83311,13,2,3,0,4,1,0,0,13,39,<=50K
38,3,215646,9,0,5,1,4,1,0,0,40,39,<=50K
53,3,234721,7,2,5,0,2,1,0,0,40,39,<=50K
28,3,338409,13,2,10,5,2,0,0,0,40,5,<=50K
37,3,284582,14,2,3,5,4,0,0,0,40,39,<=50K
49,3,160187,5,3,7,1,2,0,0,0,16,23,<=50K
52,5,209642,9,2,3,0,4,1,0,0,45,39,>50K
31,3,45781,14,4,10,1,4,0,14084,0,50,39,>50K
42,3,159449,13,2,3,0,4,1,5178,0,40,39,>50K
37,3,280464,10,2,3,0,2,1,0,0,80,39,>50K
30,6,141297,13,2,10,0,1,1,0,0,40,19,>50K
23,3,122272,13,4,0,3,4,0,0,0,30,39,<=50K
32,3,205019,12,4,12,1,2,1,0,0,50,39,<=50K
40,3,121772,11,2,2,0,1,1,0,0,40,0,>50K
34,3,245487,4,2,14,0,0,1,0,0,45,26,<=50K
25,5,176756,9,4,4,3,4,1,0,0,35,39,<=50K
32,3,186824,9,4,6,4,4,1,0,0,40,39,<=50K
38,3,28887,7,2,12,0,4,1,0,0,50,39,<=50K
43,5,292175,14,0,3,4,4,0,0,0,45,39,>50K
40,3,193524,16,2,10,0,4,1,0,0,60,39,>50K
54,3,302146,9,5,7,4,2,0,0,0,20,39,<=50K
35,1,76845,5,2,4,0,2,1,0,0,40,39,<=50K
43,3,117037,7,2,14,0,4,1,0,2042,40,39,<=50K
59,3,109015,9,0,13,4,4,0,0,0,40,39,<=50K
56,2,216851,13,2,13,0,4,1,0,0,40,39,>50K
19,3,168294,9,4,2,3,4,1,0,0,40,39,<=50K
54,0,180211,10,2,8,0,1,1,0,0,60,35,>50K
39,3,367260,9,0,3,1,4,1,0,0,80,39,<=50K
49,3,193366,9,2,2,0,4,1,0,0,40,39,<=50K
23,2,190709,12,4,11,1,4,1,0,0,52,39,<=50K
20,3,266015,10,4,12,3,2,1,0,0,44,39,<=50K
45,3,386940,13,0,3,3,4,1,0,1408,40,39,<=50K
30,1,59951,10,2,0,3,4,1,0,0,40,39,<=50K
22,6,311512,10,2,7,0,2,1,0,0,15,39,<=50K
48,3,242406,7,4,6,4,4,1,0,0,40,33,<=50K
21,3,197200,10,4,6,3,4,1,0,0,40,39,<=50K
19,3,544091,9,1,0,5,4,0,0,0,25,39,<=50K
31,3,84154,10,2,12,0,4,1,0,0,38,0,>50K
48,5,265477,12,2,10,0,4,1,0,0,40,39,<=50K
31,3,507875,5,2,6,0,4,1,0,0,43,39,<=50K
53,5,88506,13,2,10,0,4,1,0,0,40,39,<=50K
24,3,172987,13,2,13,0,4,1,0,0,50,39,<=50K
49,3,94638,9,5,0,4,4,0,0,0,40,39,<=50K
25,3,289980,9,4,5,1,4,1,0,0,35,39,<=50K
57,1,337895,13,2,10,0,2,1,0,0,40,39,>50K
53,3,144361,9,2,6,0,4,1,0,0,38,39,<=50K
44,3,128354,14,0,3,4,4,0,0,0,40,39,<=50K
41,6,101603,11,2,2,0,4,1,0,0,40,39,<=50K
29,3,271466,11,4,10,1,4,1,0,0,43,39,<=50K
25,3,32275,10,2,3,5,3,0,0,0,40,39,<=50K
18,3,226956,9,4,7,3,4,0,0,0,30,0,<=50K
47,3,51835,15,2,10,5,4,0,0,1902,60,16,>50K
50,1,251585,13,0,3,1,4,1,0,0,55,39,>50K
47,4,109832,9,0,3,1,4,1,0,0,60,39,<=50K
43,3,237993,10,2,13,0,4,1,0,0,40,39,>50K
35,3,56352,11,2,7,0,4,1,0,0,40,33,<=50K
41,3,147372,9,2,0,0,4,1,0,0,48,39,<=50K
30,3,188146,9,2,6,0,4,1,5013,0,40,39,<=50K
30,3,59496,13,2,12,0,4,1,2407,0,40,39,<=50K
32,0,293936,4,3,8,1,4,1,0,0,40,0,<=50K
48,3,149640,9,2,14,0,4,1,0,0,40,39,<=50K
42,3,116632,16,2,10,0,4,1,0,0,45,39,>50K
29,3,105598,10,0,13,1,4,1,0,0,58,39,<=50K
36,3,155537,9,2,2,0,4,1,0,0,40,39,<=50K
28,3,183175,10,0,0,1,4,0,0,0,40,39,<=50K
53,3,169846,9,2,0,5,4,0,0,0,40,39,>50K
49,4,191681,10,2,3,0,4,1,0,0,50,39,>50K
25,0,200681,10,4,8,3,4,1,0,0,40,39,<=50K
19,3,101509,10,4,10,3,4,1,0,0,32,39,<=50K
31,3,309974,13,5,12,3,2,0,0,0,40,39,<=50K
29,5,162298,13,2,12,0,4,1,0,0,70,39,>50K
23,3,211678,10,4,6,1,4,1,0,0,40,39,<=50K
27,3,213921,9,4,7,3,4,1,0,0,40,26,<=50K
40,3,32214,12,2,0,0,4,1,0,0,40,39,<=50K
67,0,212759,6,2,8,0,4,1,0,0,2,39,<=50K
18,3,309634,7,4,7,3,4,0,0,0,22,39,<=50K
31,2,125927,4,2,4,0,4,1,0,0,40,39,<=50K
18,3,446839,9,4,12,1,4,1,0,0,30,39,<=50K
52,3,276515,13,2,7,0,4,1,0,0,40,5,<=50K
46,3,51618,9,2,7,5,4,0,0,0,40,39,<=50K
59,3,159937,9,2,12,0,4,1,0,0,48,39,<=50K
44,3,343591,9,0,2,1,4,0,14344,0,40,39,>50K
53,3,346253,9,0,12,3,4,0,0,0,35,39,<=50K
49,2,268234,9,2,11,0,4,1,0,0,40,39,>50K
33,3,202051,14,2,10,0,4,1,0,0,50,39,<=50K
30,3,54334,5,4,12,1,4,1,0,0,40,39,<=50K
43,1,410867,16,4,10,1,4,0,0,0,50,39,>50K
57,3,249977,11,2,10,0,4,1,0,0,40,39,<=50K
37,3,286730,10,0,2,4,4,0,0,0,40,39,<=50K
28,3,212563,10,0,6,4,2,0,0,0,25,39,<=50K
30,3,117747,9,2,12,5,1,0,0,1573,35,0,<=50K
34,2,226296,13,2,11,0,4,1,0,0,40,39,>50K
29,2,115585,10,4,5,1,4,1,0,0,50,39,<=50K
48,5,191277,16,2,10,0,4,1,0,1902,60,39,>50K
37,3,202683,10,2,12,0,4,1,0,0,48,39,>50K
48,3,171095,12,0,3,4,4,0,0,0,40,9,<=50K
32,1,249409,9,4,7,3,2,1,0,0,40,39,<=50K
44,3,198282,13,2,3,0,4,1,15024,0,60,39,>50K
47,5,149116,14,4,10,1,4,0,0,0,50,39,<=50K
20,3,188300,10,4,13,3,4,0,0,0,40,39,<=50K
29,3,103432,9,4,2,1,4,1,0,0,40,39,<=50K
32,4,317660,9,2,2,0,4,1,7688,0,40,39,>50K
17,0,304873,6,4,8,3,4,0,34095,0,32,39,<=50K
30,3,194901,7,4,5,3,4,1,0,0,40,39,<=50K
31,2,189265,9,4,0,1,4,0,0,0,40,39,<=50K
42,3,124692,9,2,5,0,4,1,0,0,40,39,<=50K
24,3,432376,13,4,12,2,4,1,0,0,40,39,<=50K
38,3,65324,15,2,10,0,4,1,0,0,40,39,>50K
56,5,335605,9,2,7,0,4,1,0,1887,50,2,>50K
28,3,377869,10,2,12,5,4,0,4064,0,25,39,<=50K
36,3,102864,9,4,6,3,4,0,0,0,40,39,<=50K
53,3,95647,5,2,5,0,4,1,0,0,50,39,<=50K
56,4,303090,10,2,12,0,4,1,0,0,50,39,<=50K
49,2,197371,11,2,2,0,2,1,0,0,40,39,>50K
55,3,247552,10,2,12,0,4,1,0,0,56,39,<=50K
22,3,102632,9,4,2,1,4,1,0,0,41,39,<=50K
21,3,199915,10,4,7,3,4,0,0,0,40,39,<=50K
40,3,118853,13,2,3,0,4,1,0,0,60,39,<=50K
30,3,77143,13,4,3,3,2,1,0,0,40,11,<=50K
29,6,267989,13,2,10,0,4,1,0,0,50,39,>50K
19,3,301606,10,4,7,3,2,1,0,0,35,39,<=50K
47,3,287828,13,2,3,5,4,0,0,0,40,39,>50K
20,3,111697,10,4,0,3,4,0,0,1719,28,39,<=50K
31,3,114937,12,2,0,0,4,1,0,0,40,39,>50K
35,0,129305,9,2,8,0,4,1,0,0,40,39,<=50K
39,3,365739,10,0,2,1,4,1,0,0,40,39,<=50K
28,3,69621,12,4,12,1,4,0,0,0,60,39,<=50K
24,3,43323,9,4,7,1,4,0,0,1762,40,39,<=50K
38,5,120985,9,2,2,0,4,1,4386,0,35,39,<=50K
37,3,254202,13,2,12,0,4,1,0,0,50,39,<=50K
46,3,146195,12,0,13,1,2,0,0,0,36,39,<=50K
38,1,125933,14,2,10,0,4,1,0,0,40,20,>50K
43,5,56920,9,2,2,0,4,1,0,0,60,39,<=50K
27,3,163127,11,2,0,5,4,0,0,0,35,39,<=50K
20,3,34310,10,4,12,3,4,1,0,0,20,39,<=50K
